SKU;Style;Manufacturer;Name;Colour;Size;Farbtyp;Groessentyp;UVP;Weight KG;Status;Packshot;EAN;Manufacturer SKU
33000598099;33.0005;Atlantis;Atlantis | Liberty Sandwich;black/white;onesize;colors;all;3,67;0,09;ACTUAL;2D6FB288-BFC0-4EAC-90E2-A2DB04A8C446.jpg;8028661160200;LISANR
330005a6299;33.0005;Atlantis;Atlantis | Liberty Sandwich;light grey/white;onesize;colors;all;3,67;0,09;ACTUAL;A7A773E7-4C5E-4771-ADA9-E3C9EB0D61A0.jpg;8028661160132;LISAGRCH
330005a6399;33.0005;Atlantis;Atlantis | Liberty Sandwich;natural/navy/natural;onesize;colors;all;3,67;0,09;ACTUAL;23A8E6EF-D0C5-4B60-B0BA-B6C120C82F34.jpg;8028661160194;LISANANV
330005g5199;33.0005;Atlantis;Atlantis | Liberty Sandwich;violet/white;onesize;colors;all;3,67;0,09;ACTUAL;03A2D74A-9DD8-4567-B62B-8D16C85CC874.jpg;8028661368446;LISAVI
330005g6199;33.0005;Atlantis;Atlantis | Liberty Sandwich;grey/navy;onesize;colors;all;3,67;0,09;ACTUAL;315AA6B3-05C8-4A76-AED9-FA6A657574D2.jpg;8028661160149;LISAGRNV
330005h7999;33.0005;Atlantis;Atlantis | Liberty Sandwich;brown/natural;onesize;colors;all;3,67;0,09;ACTUAL;45EBDB21-66F2-4137-8F15-1EB0A0831A48.jpg;8028661160187;LISAMR
330005p5799;33.0005;Atlantis;Atlantis | Liberty Sandwich;orange/orange;onesize;colors;all;3,67;0,09;ACTUAL;C0D055FA-776A-46AD-9D6B-7F9E7259A51E.jpg;8028661160064;LISAARAR
330005p5899;33.0005;Atlantis;Atlantis | Liberty Sandwich;black grey/black;onesize;colors;all;3,67;0,09;ACTUAL;52E723B1-982B-4A85-90DC-41B760E032AF.jpg;8028661127265;LISANRGR
33000700199;33.0007;Atlantis;Atlantis | Wind;white;onesize;colors;all;2,11;0,07;ACTUAL;58D5CA01-C357-4D53-8A5F-57BF8440BCA8.jpg;8028661332706;WINDBI
33000700299;33.0007;Atlantis;Atlantis | Wind;black;onesize;colors;all;2,11;0,07;ACTUAL;680756DF-E644-45E9-86BD-F571CE2527C8.jpg;8028661332751;WINDNR
33000700399;33.0007;Atlantis;Atlantis | Wind;navy;onesize;colors;all;2,11;0,07;ACTUAL;33AC8014-135D-42BE-AA34-7A52A4625683.jpg;8028661332775;WINDNV
33000700499;33.0007;Atlantis;Atlantis | Wind;red;onesize;colors;all;2,11;0,07;ACTUAL;D91021DC-83F6-4F42-80DC-2FD45E9CB0AB.jpg;8028661332812;WINDRO
33000703199;33.0007;Atlantis;Atlantis | Wind;gold yellow;onesize;colors;all;2,11;0,07;ACTUAL;5E3FA020-A5BF-4E1D-A915-14A006DAD89A.jpg;8028661385924;WINDGO
33000703399;33.0007;Atlantis;Atlantis | Wind;green;onesize;colors;all;2,11;0,07;ACTUAL;D8E9BC4B-95B3-4F7B-9289-C3B2EAC7BE5F.jpg;8028661353275;WINDVE
33000703799;33.0007;Atlantis;Atlantis | Wind;light blue;onesize;colors;all;2,11;0,07;ACTUAL;B0B87D20-E197-4672-9665-6E18364FAFD8.jpg;8028661332690;WINDAZ
33000703999;33.0007;Atlantis;Atlantis | Wind;light grey;onesize;colors;all;2,11;0,07;ACTUAL;5E2908DD-9DC2-44C8-B769-BBC3ABEE67D7.jpg;8028661353251;WINDGRCH
33000704299;33.0007;Atlantis;Atlantis | Wind;lime green;onesize;colors;all;2,11;0,07;ACTUAL;11B52704-9E17-486F-ACC5-245699821503.jpg;8028661385917;WINDVELI
33000704899;33.0007;Atlantis;Atlantis | Wind;pink;onesize;colors;all;2,11;0,07;ACTUAL;27C5021B-BEC7-4EC2-9F31-7DF3976022FF.jpg;8028661332829;WINDRS
33000705099;33.0007;Atlantis;Atlantis | Wind;royal;onesize;colors;all;2,11;0,07;ACTUAL;A02D28FC-EA97-4E58-BE00-EFFC79C3BB48.jpg;8028661332836;WINDRY
33000707699;33.0007;Atlantis;Atlantis | Wind;grey;onesize;colors;all;2,11;0,07;ACTUAL;EA1B641C-C7AA-4C4B-AE06-C3E2CB6AD68A.jpg;8028661332713;WINDGR
33000708599;33.0007;Atlantis;Atlantis | Wind;mustard;onesize;colors;all;2,11;0,07;ACTUAL;AD5D10FB-D8F9-4E59-B5ED-BC92512D2307.jpg;8028661353268;WINDMO
33000709299;33.0007;Atlantis;Atlantis | Wind;violet;onesize;colors;all;2,11;0,07;ACTUAL;30B5E3C6-A454-49B1-A32A-7DABF91291EE.jpg;8028661367685;WINDVI
33000712599;33.0007;Atlantis;Atlantis | Wind;beige;onesize;colors;all;2,11;0,07;ACTUAL;8B2E0F4B-BCB1-4D80-A9BA-E3CF175B1A30.jpg;8028661353237;WINDBE
33000714599;33.0007;Atlantis;Atlantis | Wind;brown;onesize;colors;all;2,11;0,07;ACTUAL;6ABEA483-5A5F-4FB8-86BD-BEC7FB456B21.jpg;8028661332737;WINDMR
33000723599;33.0007;Atlantis;Atlantis | Wind;orange;onesize;colors;all;2,11;0,07;ACTUAL;7CA650FA-ED30-4BAF-A33D-F8A7306AE9A2.jpg;8028661353220;WINDAR
33000725599;33.0007;Atlantis;Atlantis | Wind;coral;onesize;colors;all;2,11;0,07;ACTUAL;AB5B3400-260E-44DE-A06E-87FA667EF103.jpg;8028661385931;WINDROCO
33000737099;33.0007;Atlantis;Atlantis | Wind;burgundy;onesize;colors;all;2,11;0,07;ACTUAL;1A9CB994-4A18-4E4D-BF6A-874A22FF17DC.jpg;8028661353244;WINDBO
33000744099;33.0007;Atlantis;Atlantis | Wind;turquoise;onesize;colors;all;2,11;0,07;ACTUAL;05519616-039B-4E07-A8F7-58679187BF1E.jpg;8028661367678;WINDTU
33000755099;33.0007;Atlantis;Atlantis | Wind;olive;onesize;colors;all;2,11;0,07;ACTUAL;DE951F26-895E-4017-B338-618C4ED5C919.jpg;8028661332805;WINDOL
33000758099;33.0007;Atlantis;Atlantis | Wind;petrol;onesize;colors;all;2,11;0,07;ACTUAL;7A33D0F3-DB0A-40CA-8FC0-2CA15B167726.jpg;8028661367661;WINDPT
330007d2199;33.0007;Atlantis;Atlantis | Wind;sapphire;onesize;colors;all;2,11;0,07;ACTUAL;D68E5E8A-AFFB-4D77-AB2D-19199CF897AC.jpg;8028661385948;WINDZA
330007o0299;33.0007;Atlantis;Atlantis | Wind;burgundy melange;onesize;colors;all;2,11;0,07;ACTUAL;0E00831E-867C-4791-B6D0-2FD7D1641023.jpg;8028661386365;WINDBOME
330007o5399;33.0007;Atlantis;Atlantis | Wind;navy melange;onesize;colors;all;2,11;0,07;ACTUAL;7BB0534A-2151-4BD0-AD20-487352EE5250.jpg;8028661386389;WINDNVME
330007p6299;33.0007;Atlantis;Atlantis | Wind;yellow fluo;onesize;colors;all;2,11;0,07;ACTUAL;12862810-65E7-4A3E-8ECD-1E43C8BA3E66.jpg;8028661355255;WINDGI
330007t0999;33.0007;Atlantis;Atlantis | Wind;green fluo;onesize;colors;all;2,11;0,07;ACTUAL;E0BAFC58-F359-41C9-AA4B-1B872750D6AD.jpg;8028661360440;WINDVEFL
330007t2299;33.0007;Atlantis;Atlantis | Wind;fuchsia fluo;onesize;colors;all;2,11;0,07;ACTUAL;C287A47F-568E-46DB-AAEE-B61222F321D8.jpg;8028661360433;WINDFU
330007v7899;33.0007;Atlantis;Atlantis | Wind;off red;onesize;colors;all;2,11;0,07;ACTUAL;B0FDC61F-D954-49C3-8BDA-5720334FB1AB.jpg;8028661367654;WINDMT
330007w3999;33.0007;Atlantis;Atlantis | Wind;avio;onesize;colors;all;2,11;0,07;ACTUAL;582547B5-FDCF-4BD1-8E9E-188915B409E2.jpg;8028661367647;WINDAV
01000300401;01.0003;B&C Collection;B&C | Exact 150 LSL;red;S;colors;all;3,30;0,20;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU0030041S
01000300402;01.0003;B&C Collection;B&C | Exact 150 LSL;red;M;colors;all;3,30;0,21;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU0030041M
01000300403;01.0003;B&C Collection;B&C | Exact 150 LSL;red;L;colors;all;3,30;0,21;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU0030041L
01000300404;01.0003;B&C Collection;B&C | Exact 150 LSL;red;XL;colors;all;3,30;0,22;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU003004XL
01000300405;01.0003;B&C Collection;B&C | Exact 150 LSL;red;XXL;colors;all;3,30;0,24;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU0030042X
01000300413;01.0003;B&C Collection;B&C | Exact 150 LSL;red;3XL;colors;all;3,30;0,26;SELLOUT;18F882BF-F31D-4F93-91EF-492A44150E2D.jpg;;TU0030043X
01000344101;01.0003;B&C Collection;B&C | Exact 150 LSL;atoll;S;colors;all;3,30;0,20;SELLOUT;98AFBF4D-816E-4BDC-B64C-17EB6488AB80.jpg;;TU0034411S
01000344102;01.0003;B&C Collection;B&C | Exact 150 LSL;atoll;M;colors;all;3,30;0,21;SELLOUT;98AFBF4D-816E-4BDC-B64C-17EB6488AB80.jpg;;TU0034411M
01000344103;01.0003;B&C Collection;B&C | Exact 150 LSL;atoll;L;colors;all;3,30;0,21;SELLOUT;98AFBF4D-816E-4BDC-B64C-17EB6488AB80.jpg;;TU0034411L
01000344104;01.0003;B&C Collection;B&C | Exact 150 LSL;atoll;XL;colors;all;3,30;0,22;SELLOUT;98AFBF4D-816E-4BDC-B64C-17EB6488AB80.jpg;;TU003441XL
01000344105;01.0003;B&C Collection;B&C | Exact 150 LSL;atoll;XXL;colors;all;3,30;0,24;SELLOUT;98AFBF4D-816E-4BDC-B64C-17EB6488AB80.jpg;;TU0034412X
01000362001;01.0003;B&C Collection;B&C | Exact 150 LSL;sport grey;S;colors;all;3,30;0,20;SELLOUT;86725D83-3FE8-4799-93A7-21707BB689AD.jpg;;TU0036201S
01000362002;01.0003;B&C Collection;B&C | Exact 150 LSL;sport grey;M;colors;all;3,30;0,21;SELLOUT;86725D83-3FE8-4799-93A7-21707BB689AD.jpg;;TU0036201M
01000362003;01.0003;B&C Collection;B&C | Exact 150 LSL;sport grey;L;colors;all;3,30;0,21;SELLOUT;86725D83-3FE8-4799-93A7-21707BB689AD.jpg;;TU0036201L
01000362004;01.0003;B&C Collection;B&C | Exact 150 LSL;sport grey;XL;colors;all;3,30;0,22;SELLOUT;86725D83-3FE8-4799-93A7-21707BB689AD.jpg;;TU003620XL
01000362005;01.0003;B&C Collection;B&C | Exact 150 LSL;sport grey;XXL;colors;all;3,30;0,24;SELLOUT;86725D83-3FE8-4799-93A7-21707BB689AD.jpg;;TU0036202X
01000600101;01.0006;B&C Collection;B&C | Exact V-Neck;white;S;white;all;3,11;0,16;ACTUAL;937AD3BF-025C-424E-A75A-CB27C02FC58E.jpg;;TU0060011S
01000600102;01.0006;B&C Collection;B&C | Exact V-Neck;white;M;white;all;3,11;0,17;ACTUAL;937AD3BF-025C-424E-A75A-CB27C02FC58E.jpg;;TU0060011M
01000600103;01.0006;B&C Collection;B&C | Exact V-Neck;white;L;white;all;3,11;0,17;ACTUAL;937AD3BF-025C-424E-A75A-CB27C02FC58E.jpg;;TU0060011L
01000600104;01.0006;B&C Collection;B&C | Exact V-Neck;white;XL;white;all;3,11;0,18;ACTUAL;937AD3BF-025C-424E-A75A-CB27C02FC58E.jpg;;TU006001XL
01000600105;01.0006;B&C Collection;B&C | Exact V-Neck;white;XXL;white;all;3,11;0,19;ACTUAL;937AD3BF-025C-424E-A75A-CB27C02FC58E.jpg;;TU0060012X
01000600201;01.0006;B&C Collection;B&C | Exact V-Neck;black;S;colors;all;3,75;0,16;ACTUAL;E3003CD4-D9A4-41FE-94A4-958603B6071C.jpg;;TU0060021S
01000600202;01.0006;B&C Collection;B&C | Exact V-Neck;black;M;colors;all;3,75;0,17;ACTUAL;E3003CD4-D9A4-41FE-94A4-958603B6071C.jpg;;TU0060021M
01000600203;01.0006;B&C Collection;B&C | Exact V-Neck;black;L;colors;all;3,75;0,17;ACTUAL;E3003CD4-D9A4-41FE-94A4-958603B6071C.jpg;;TU0060021L
01000600204;01.0006;B&C Collection;B&C | Exact V-Neck;black;XL;colors;all;3,75;0,18;ACTUAL;E3003CD4-D9A4-41FE-94A4-958603B6071C.jpg;;TU006002XL
